starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
CoRoT-3,11.320,0.780,-0.780,6883.91000,317.80000,-317.80000,0.06630,0.00090,-0.00090,1.56,0.09,-0.09,1.37,0.09,-0.09,4.25680000,Transit,6740.00,13.4480000,<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>,CoRoT,Transit
CoRoT-30,11.310,0.852,-0.852,921.70700,69.92260,-69.92260,0.11400,0.00320,-0.00320,0.91,0.09,-0.03,0.98,0.03,-0.05,9.06005000,Transit,5650.00,15.5710000,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,CoRoT,Transit
CoRoT-31,16.365,3.363,-3.363,266.97720,108.06220,-108.06220,0.06990,0.00760,-0.00760,2.15,0.56,-0.66,1.25,0.22,-0.21,4.62941000,Transit,5700.00,15.4790000,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,CoRoT,Transit
CoRoT-4,13.340,0.670,-0.560,228.83000,25.43000,-25.43000,0.10470,0.00410,-0.00220,1.17,0.01,-0.03,1.16,0.03,-0.02,9.20205000,Transit,6190.00,13.6520000,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,CoRoT,Transit
CoRoT-5,15.558,0.516,-0.527,148.42000,14.93700,-7.62800,,,,1.19,0.04,-0.04,1.00,0.02,-0.02,4.03789620,Transit,6100.00,14.0430000,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,CoRoT,Transit
CoRoT-6,13.068,0.392,-0.392,940.74000,108.06000,-108.06000,0.11690,0.00090,-0.00090,1.02,0.03,-0.03,1.05,0.05,-0.05,8.88659300,Transit,6090.00,13.9610000,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,CoRoT,Transit
CoRoT-7,1.681,0.112,-0.112,4.07661,1.01982,-1.01982,,,,0.83,0.04,-0.04,0.82,0.17,-0.17,0.85359163,Transit,5275.00,11.7280000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,CoRoT,Mixed
CoRoT-7,,,,8.40000,0.90000,-0.90000,,,,0.86,0.05,-0.05,0.90,0.11,-0.11,3.69800000,Radial Velocity,5256.00,11.7280000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,CoRoT,Mixed
CoRoT-8,6.390,0.220,-0.220,69.92000,9.53000,-9.53000,0.07500,0.00100,-0.00100,0.77,0.02,-0.02,0.88,0.04,-0.04,6.21229000,Transit,5080.00,14.7920000,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,CoRoT,Transit
CoRoT-9,11.949,0.841,-0.706,266.97720,15.89150,-15.89150,0.11402,0.00095,-0.00085,0.96,0.06,-0.06,0.96,0.04,-0.04,95.27265600,Transit,5625.00,13.6370000,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,CoRoT,Transit
CoRoTID 223977153,6.389,0.673,-0.560,47.67450,31.78300,-31.78300,0.05400,0.00200,-0.00200,0.79,0.08,-0.09,1.08,0.08,-0.07,6.71837000,Transit,5970.00,13.6260000,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,CoRoT,Transit
DMPP-1,,,,24.27000,1.16000,-1.59000,,,,1.26,0.02,-0.02,1.21,0.03,-0.03,18.57000000,Radial Velocity,6196.00,7.9800000,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,La Silla Observatory,Radial Velocity
DMPP-1,,,,9.60000,0.53000,-1.58000,,,,1.26,0.02,-0.02,1.21,0.03,-0.03,6.58400000,Radial Velocity,6196.00,7.9800000,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,La Silla Observatory,Radial Velocity
DMPP-1,,,,3.35000,0.38000,-0.34000,,,,1.26,0.02,-0.02,1.21,0.03,-0.03,2.88200000,Radial Velocity,6196.00,7.9800000,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,La Silla Observatory,Radial Velocity
DMPP-1,,,,4.13000,0.66000,-1.14000,,,,1.26,0.02,-0.02,1.21,0.03,-0.03,5.51600000,Radial Velocity,6196.00,7.9800000,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,La Silla Observatory,Radial Velocity
DMPP-2,,,,138.89171,9.53490,-18.75197,,,,1.78,0.09,-0.09,1.44,0.03,-0.03,5.20720000,Radial Velocity,6500.00,8.5700000,<a refstr=HASWELL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..408H/abstract target=ref>Haswell et al. 2020</a>,Multiple Facilities,Radial Velocity
DMPP-3 A,,,,2.58000,0.35000,-0.58000,,,,0.91,0.02,-0.02,0.87,0.05,-0.05,6.67320000,Radial Velocity,5138.00,,<a refstr=BARNES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..419B/abstract target=ref>Barnes et al. 2020</a>,La Silla Observatory,Radial Velocity
DS Tuc A,5.700,0.170,-0.170,,,,0.05419,0.00024,-0.00024,0.96,0.03,-0.03,1.01,0.06,-0.06,8.13826800,Transit,5428.00,8.1700000,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
EPIC 201170410,1.047,0.276,-0.257,,,,0.03400,0.00070,-0.00060,0.28,0.07,-0.07,0.29,0.10,-0.08,6.79870000,Transit,3648.00,17.6984000,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,K2,Transit
EPIC 201238110,1.870,0.200,-0.450,,,,0.04580,0.00210,-0.00220,,,,0.41,0.11,-0.05,28.16560000,Transit,,16.0140000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 201497682,0.692,0.059,-0.048,,,,0.01150,0.00080,-0.00080,,,,0.78,0.09,-0.17,2.13174000,Transit,,13.9480000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
K2-166,1.220,0.210,-0.170,,,,0.00930,0.00070,-0.00070,1.61,0.04,-0.04,1.07,0.03,-0.03,3.80464000,Transit,,12.0810000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
K2-16,1.030,0.085,-0.086,,,,0.01500,0.00100,-0.00100,0.66,0.03,-0.03,0.67,0.03,-0.04,2.71578000,Transit,,14.6680000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 201757695,0.908,0.059,-0.064,,,,0.01270,0.00020,-0.00020,0.66,0.04,-0.04,0.73,0.04,-0.05,2.04780000,Transit,4520.00,14.9740000,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,K2,Transit
K2-50,1.000,0.120,-0.110,,,,0.01680,0.00120,-0.00120,0.55,0.05,-0.05,0.61,0.06,-0.06,3.96151000,Transit,,14.7050000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 201841433,1.040,0.037,-0.032,,,,0.01520,0.00040,-0.00030,0.63,0.04,-0.02,0.80,0.08,-0.16,4.16980000,Transit,5053.00,14.9830000,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,K2,Transit
K2-168,1.310,0.144,-0.063,,,,0.01258,0.00075,-0.00057,0.83,0.09,-0.04,0.88,0.06,-0.03,8.05072200,Transit,5502.70,12.3650000,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,K2,Transit
EPIC 206024342,1.700,0.590,-0.310,,,,0.01470,0.00120,-0.00100,,,,0.93,0.08,-0.10,4.50756000,Transit,,13.0960000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 206032309,1.010,0.240,-0.130,,,,0.04050,0.00240,-0.00240,,,,0.22,0.04,-0.06,2.87814000,Transit,,17.8900000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 206042996,1.620,0.170,-0.190,,,,0.02940,0.00180,-0.00190,,,,0.56,0.05,-0.05,5.29711000,Transit,,16.5900000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 206215704,0.900,0.190,-0.200,,,,0.02250,0.00220,-0.00210,,,,0.41,0.10,-0.08,2.25372000,Transit,,17.8300000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 206317286,0.960,0.110,-0.150,,,,0.01330,0.00140,-0.00120,,,,0.71,0.09,-0.03,1.58252000,Transit,,14.0050000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 211822797,1.980,0.110,-0.110,,,,0.03182,0.00102,-0.00097,0.57,0.03,-0.03,0.66,0.07,-0.07,21.16986100,Transit,4148.21,15.1330000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
EPIC 211945201,5.760,0.300,-0.300,,,,0.03790,0.00250,-0.00130,1.39,0.02,-0.02,1.17,0.04,-0.04,19.49221000,Transit,6069.00,10.1540000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
EPIC 212297394,1.323,0.081,-0.095,,,,0.01620,0.00100,-0.00100,,,,0.83,0.09,-0.12,2.28943000,Transit,,14.6110000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 212424622,2.170,0.670,-0.420,,,,0.01480,0.00130,-0.00110,,,,1.11,0.14,-0.12,18.09830000,Transit,,13.4410000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 212499991,1.600,0.130,-0.160,,,,0.01930,0.00160,-0.00190,,,,0.91,0.04,-0.16,34.88500000,Transit,,13.6720000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 212587672,1.120,0.120,-0.090,,,,0.01080,0.00070,-0.00070,,,,0.95,0.04,-0.04,15.28410000,Transit,,12.4880000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 212737443,2.586,0.126,-0.126,,,,0.03520,0.00120,-0.00120,0.67,0.02,-0.02,0.69,0.04,-0.04,13.60300000,Transit,4684.00,14.8100000,<a refstr=HERATH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..536H/abstract target=ref>Herath et al. 2019</a>,K2,Transit
EPIC 212737443,2.690,0.146,-0.146,,,,0.03660,0.00160,-0.00160,0.67,0.02,-0.02,0.69,0.04,-0.04,65.55000000,Transit,4684.00,14.8100000,<a refstr=HERATH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..536H/abstract target=ref>Herath et al. 2019</a>,K2,Transit
K2-282,1.480,0.130,-0.100,,,,0.01460,0.00070,-0.00070,0.94,0.02,-0.02,0.94,0.04,-0.04,0.70531000,Transit,,14.2100000,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,K2,Transit
EPIC 220674823,1.820,0.100,-0.100,,,,0.01710,0.00110,-0.00060,0.98,0.02,-0.02,0.97,0.04,-0.04,0.57133100,Transit,5617.00,12.1010000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
EPIC 220674823,2.730,0.180,-0.180,,,,0.02560,0.00190,-0.00130,0.98,0.02,-0.02,0.97,0.04,-0.04,13.33907900,Transit,5617.00,12.1010000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
EPIC 246193072,8.676,0.291,-0.269,82.63580,6.35660,-6.99226,0.09679,0.00056,-0.00057,0.82,0.03,-0.02,0.90,0.05,-0.05,12.45512250,Transit,5282.00,12.6970000,<a refstr=SHA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201014436S/abstract target=ref>Sha et al. 2020</a>,K2,Transit
EPIC 246851721,11.781,0.493,-0.493,953.49000,349.61300,-381.39600,0.06810,0.00250,-0.00260,1.59,0.03,-0.03,1.32,0.04,-0.04,6.18023500,Transit,6202.00,11.2370000,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,K2,Transit
EPIC 248847494,12.442,0.785,-0.785,4131.79000,,,0.04200,0.00200,-0.00200,2.70,0.12,-0.12,0.90,0.09,-0.09,3650.00000000,Transit,4898.00,12.3530000,<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615L..13G/abstract target=ref>Giles et al. 2018</a>,K2,Transit
EPIC 249893012,1.950,0.090,-0.080,8.75000,1.09000,-1.08000,0.01040,0.00040,-0.00040,1.71,0.04,-0.04,1.05,0.05,-0.05,3.59510000,Transit,5430.00,11.4290000,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,K2,Transit
EPIC 249893012,3.670,0.170,-0.140,14.67000,1.84000,-1.89000,0.01970,0.00080,-0.00060,1.71,0.04,-0.04,1.05,0.05,-0.05,15.62400000,Transit,5430.00,11.4290000,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,K2,Transit
EPIC 249893012,3.940,0.130,-0.120,10.18000,2.46000,-2.42000,0.02110,0.00050,-0.00040,1.71,0.04,-0.04,1.05,0.05,-0.05,35.74700000,Transit,5430.00,11.4290000,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,K2,Transit
G 9-40,2.025,0.096,-0.097,,,,0.06050,0.00260,-0.00280,0.31,0.01,-0.01,0.29,0.02,-0.02,5.74600700,Transit,3348.00,13.8210000,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..100S/abstract target=ref>Stefansson et al. 2020</a>,K2,Transit
GJ 1061,,,,1.37000,0.16000,-0.15000,,,,0.16,0.01,-0.01,0.12,0.01,-0.01,3.20400000,Radial Velocity,2953.00,12.7000000,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,La Silla Observatory,Radial Velocity
GJ 1061,,,,1.74000,0.23000,-0.23000,,,,0.16,0.01,-0.01,0.12,0.01,-0.01,6.68900000,Radial Velocity,2953.00,12.7000000,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,La Silla Observatory,Radial Velocity
GJ 1061,,,,1.64000,0.24000,-0.23000,,,,0.16,0.01,-0.01,0.12,0.01,-0.01,13.03100000,Radial Velocity,2953.00,12.7000000,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,La Silla Observatory,Radial Velocity
GJ 1132,1.130,0.056,-0.056,1.66000,0.23000,-0.23000,,,,0.21,0.01,-0.01,0.18,0.02,-0.02,1.62893100,Transit,3270.00,13.6800000,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,Cerro Tololo Inter-American Observatory,Mixed
GJ 1132,,,,2.64000,0.44000,-0.44000,,,,0.21,0.01,-0.01,0.18,0.02,-0.02,8.92900000,Radial Velocity,3270.00,13.6800000,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,La Silla Observatory,Mixed
GJ 1148,,,,96.70000,1.41000,-1.02000,,,,0.36,0.01,-0.01,0.34,0.02,-0.02,41.38000000,Radial Velocity,3287.00,11.9390000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,W. M. Keck Observatory,Radial Velocity
GJ 1148,,,,68.06000,4.91000,-2.19000,,,,0.36,0.01,-0.01,0.34,0.02,-0.02,532.58000000,Radial Velocity,3287.00,11.9390000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Calar Alto Observatory,Radial Velocity
GJ 1214,2.847,0.202,-0.202,6.26125,0.85814,-0.85814,,,,0.22,0.01,-0.01,0.15,0.01,-0.01,1.58040456,Transit,3026.00,15.1000000,<a refstr=HARPS_OSLASH_E_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...549A..10H/abstract target=ref>Harps&oslash;e et al. 2013</a>,MEarth Project,Transit
GJ 1252,1.193,0.074,-0.074,2.09000,0.56000,-0.56000,0.02802,0.00090,-0.00097,0.39,0.02,-0.02,0.38,0.02,-0.02,0.51823490,Transit,3458.00,12.6800000,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 1265,,,,7.40000,0.50000,-0.50000,,,,0.19,0.01,-0.01,0.18,0.02,-0.02,3.65110000,Radial Velocity,3236.00,14.0100000,<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>,Calar Alto Observatory,Radial Velocity
GJ 143,2.610,0.170,-0.160,22.70000,2.20000,-1.90000,0.03500,0.00110,-0.00100,0.69,0.03,-0.03,0.73,0.07,-0.07,35.61253000,Transit,4640.00,8.0800000,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 15 A,,,,36.00000,25.00000,-18.00000,,,,0.38,0.05,-0.05,0.38,0.05,-0.05,7600.00000000,Radial Velocity,3607.00,8.0900000,<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>,Roque de los Muchachos Observatory,Radial Velocity
GJ 160.2,,,,10.20000,7.20000,-5.90000,,,,,,,0.69,,,5.23540000,Radial Velocity,4347.00,9.7000000,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,Multiple Observatories,Radial Velocity
GJ 163,,,,10.60000,0.60000,-0.60000,,,,,,,,,,8.63182000,Radial Velocity,,11.7900000,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,La Silla Observatory,Radial Velocity
GJ 163,,,,6.80000,0.90000,-0.90000,,,,,,,,,,25.63058000,Radial Velocity,,11.7900000,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,La Silla Observatory,Radial Velocity
GJ 163,,,,29.40000,2.90000,-2.90000,,,,,,,,,,603.95116000,Radial Velocity,,11.7900000,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,La Silla Observatory,Radial Velocity
GJ 179,,,,260.61000,22.25000,-22.25000,,,,0.38,0.02,-0.02,0.36,0.03,-0.03,2288.00000000,Radial Velocity,3370.00,11.9630000,<a refstr=HOWARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1467H/abstract target=ref> Howard et al. 2010 </a>,W. M. Keck Observatory,Radial Velocity
GJ 180,,,,6.49000,0.68000,-0.68000,,,,,,,0.43,,,17.13300000,Radial Velocity,,10.9140000,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,Multiple Observatories,Radial Velocity
GJ 180,,,,6.40000,3.70000,-4.10000,,,,,,,0.43,,,24.32900000,Radial Velocity,3371.00,10.9140000,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,Multiple Observatories,Radial Velocity
GJ 180,,,,7.56000,1.07000,-1.07000,,,,,,,0.43,,,106.30000000,Radial Velocity,,10.9140000,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,Multiple Facilities,Radial Velocity
GJ 2056,,,,16.20000,3.60000,-3.60000,,,,,,,0.62,0.08,-0.08,69.97100000,Radial Velocity,,,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,Multiple Observatories,Radial Velocity
GJ 229,,,,7.26800,1.25600,-1.25600,,,,,,,0.58,,,121.99500000,Radial Velocity,,8.1500000,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,Multiple Facilities,Radial Velocity
GJ 229,,,,8.47800,2.03300,-2.03300,,,,,,,0.58,,,526.11500000,Radial Velocity,,8.1500000,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,Multiple Observatories,Radial Velocity
GJ 27.1,,,,13.00000,4.10000,-6.60000,,,,,,,0.53,,,15.81900000,Radial Velocity,3542.00,11.4500000,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,Multiple Observatories,Radial Velocity
GJ 273,,,,2.89000,0.27000,-0.26000,,,,0.29,0.03,-0.03,0.29,,,18.64980000,Radial Velocity,3382.00,9.8400000,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,La Silla Observatory,Radial Velocity
GJ 273,,,,1.18000,0.16000,-0.16000,,,,0.29,0.03,-0.03,0.29,,,4.72340000,Radial Velocity,3382.00,9.8400000,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,La Silla Observatory,Radial Velocity
GJ 3021,,,,1071.04000,28.60000,-28.60000,,,,0.90,,,0.90,,,133.71000000,Radial Velocity,5540.00,6.5900000,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>,La Silla Observatory,Radial Velocity
GJ 3082,,,,8.20000,1.70000,-1.70000,,,,,,,0.47,,,11.94900000,Radial Velocity,,11.0410000,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,Multiple Facilities,Radial Velocity
GJ 3138,,,,1.78000,0.34000,-0.33000,,,,0.50,0.03,-0.03,0.68,,,1.22003000,Radial Velocity,3717.00,10.8275000,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,La Silla Observatory,Radial Velocity
GJ 3138,,,,4.18000,0.61000,-0.59000,,,,0.50,0.03,-0.03,0.68,,,5.97400000,Radial Velocity,3717.00,10.8275000,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,La Silla Observatory,Radial Velocity
