kepid,ra,ra_err,dec,dec_err,ra_str,dec_str,kepoi_name,kepler_name,alt_name,tm_designation,koi_list_flag,last_update
9766437,290.067990,0.000000,46.579140,0.000000,19h20m16.32s,+46d34m44.9s,K00949.01,Kepler-739 b,Kepler-739 b,2MASS J19201631+4634449,YES,2016-05-10
9875711,283.866030,0.000000,46.789589,0.000000,18h55m27.85s,+46d47m22.5s,K00956.01,Kepler-742 b,Kepler-742 b,2MASS J18552784+4647225,YES,2016-05-10
7295235,295.574160,0.000000,42.806438,0.000000,19h42m17.80s,+42d48m23.2s,K00987.01,Kepler-743 b,Kepler-743 b,2MASS J19421779+4248231,YES,2016-05-10
1865042,290.682250,0.000000,37.355110,0.000000,19h22m43.74s,+37d21m18.4s,K01002.01,Kepler-746 b,Kepler-746 b,2MASS J19224373+3721184,YES,2016-05-10
8125580,299.897220,0.000000,43.903912,0.000000,19h59m35.33s,+43d54m14.1s,K01014.01,Kepler-749 b,Kepler-749 b,2MASS J19593533+4354140,YES,2016-05-10
8158127,289.096890,0.000000,44.004379,0.000000,19h16m23.25s,+44d00m15.8s,K01015.01,Kepler-750 b,Kepler-750 b,2MASS J19162324+4400157,YES,2016-05-10
8174625,294.843840,0.000000,44.077679,0.000000,19h39m22.52s,+44d04m39.6s,K01017.01,Kepler-751 b,Kepler-751 b,2MASS J19392251+4404396,YES,2016-05-10
11905011,286.247190,0.000000,50.242409,0.000000,19h04m59.33s,+50d14m32.7s,K00297.01,Kepler-514 b,Kepler-514 b,2MASS J19045932+5014326,YES,2016-05-10
12785320,290.494260,0.000000,52.055519,0.000000,19h21m58.62s,+52d03m19.9s,K00298.01,Kepler-515 b,Kepler-515 b,2MASS J19215853+5203201,YES,2016-05-10
3662838,295.608800,0.000000,38.735741,0.000000,19h42m26.11s,+38d44m08.7s,K00302.01,Kepler-516 b,Kepler-516 b,2MASS J19422610+3844086,YES,2016-05-10
6029239,287.089970,0.000000,41.373878,0.000000,19h08m21.59s,+41d22m26.0s,K00304.01,Kepler-518 b,Kepler-518 b,2MASS J19082159+4122259,YES,2016-05-10
6289257,293.180330,0.000000,41.617760,0.000000,19h32m43.28s,+41d37m03.9s,K00307.01,Kepler-520 b,Kepler-520 b,2MASS J19324327+4137039,YES,2016-05-10
8121310,298.816380,0.000000,43.998039,0.000000,19h55m15.93s,+43d59m52.9s,K00317.01,Kepler-521 b,Kepler-521 b,2MASS J19551593+4359529,YES,2016-05-10
3657758,294.511260,0.000000,38.790501,0.000000,19h38m02.70s,+38d47m25.8s,K02034.01,Kepler-1065 b,Kepler-1065 b,2MASS J19380270+3847258,YES,2016-05-10
9790806,298.866580,0.000000,46.502239,0.000000,19h55m27.98s,+46d30m08.1s,K02035.01,Kepler-1066 b,Kepler-1066 b,2MASS J19552797+4630080,YES,2016-05-10
8804845,285.387420,0.000000,45.049049,0.000000,19h01m32.98s,+45d02m56.6s,K02039.02,Kepler-1067 b,Kepler-1067 b,2MASS J19013297+4502565,YES,2016-05-10
10663396,290.979340,0.000000,47.988998,0.000000,19h23m55.04s,+47d59m20.4s,K02046.01,Kepler-1069 b,Kepler-1069 b,2MASS J19235503+4759204,YES,2016-05-10
11457726,293.195370,0.000000,49.316502,0.000000,19h32m46.89s,+49d18m59.4s,K02047.01,Kepler-1070 b,Kepler-1070 b,2MASS J19324688+4918594,YES,2016-05-10
9649706,292.044370,0.000000,46.329029,0.000000,19h28m10.65s,+46d19m44.5s,K02049.01,Kepler-1072 b,Kepler-1072 b,2MASS J19281065+4619444,YES,2016-05-10
