Starname,Rp,Mp,P,Rs,Ms,Ms-Err,Detection Method,Source,System Detection Method
K01127,2.178,8.813418649206264,2.83669898,1.633,1.171,0.134,Transit,cks,Transit
K01148,1.728,5.26530959111588,11.4761013,1.226,1.17,0.284,Transit,cks,Transit
K01148,1.412,2.9235489813193065,25.2630268,1.226,1.17,0.284,Transit,cks,Transit
K01151,1.247,2.0264880993988847,10.43547805,0.849,0.829,0.069,Transit,cks,Transit
K01151,0.971,0.8524208834013357,7.41086267,0.849,0.829,0.069,Transit,cks,Transit
K01151,0.67,0.26201907363214383,5.24972541,0.849,0.829,0.069,Transit,cks,Transit
K01151,0.772,0.40853536966874715,17.4532952,0.849,0.829,0.069,Transit,cks,Transit
K01151,0.83,0.5105586542817617,21.7202824,0.849,0.829,0.069,Transit,cks,Transit
K01161,2.379,7.6111197851456485,6.05730524,1.209,0.91,0.155,Transit,cks,Transit
K01161,2.504,6.7458541952956566,10.93730071,1.209,0.91,0.155,Transit,cks,Transit
K01161,1.895,7.3069630246067305,2.9713641,1.209,0.91,0.155,Transit,cks,Transit
K01163,1.481,3.5176429066945745,2.936526966,0.78,0.756,0.127,Transit,cks,Transit
K01163,1.579,3.6634883852393423,8.01494715,0.78,0.756,0.127,Transit,cks,Transit
K01165,1.939,6.950023865701149,7.053936122,0.848,0.881,0.142,Transit,cks,Transit
K01165,0.707,0.3116693311389114,4.29264638,0.848,0.881,0.142,Transit,cks,Transit
K01196,2.203,6.794340688938101,11.634864,1.232,0.883,0.142,Transit,cks,Transit
K01196,2.387,5.634005214413598,33.1981054,1.232,0.883,0.142,Transit,cks,Transit
K01198,3.618,13.544394968690412,16.08831829,1.4,1.189,0.216,Transit,cks,Transit
K01198,2.459,7.581403944723622,10.30065512,1.4,1.189,0.216,Transit,cks,Transit
K01198,3.363,10.505534119135673,35.6756963,1.4,1.189,0.216,Transit,cks,Transit
K01203,2.732,5.8350207222032475,31.8841569,0.889,0.845,0.218,Transit,cks,Transit
K01203,2.288,5.956819943299263,14.12846178,0.889,0.845,0.218,Transit,cks,Transit
K01203,2.228,5.539882523315914,48.6476601,0.889,0.845,0.218,Transit,cks,Transit
K01215,3.027,8.956490344389444,17.32417247,1.731,1.263,0.187,Transit,cks,Transit
K01215,2.853,6.910223715599924,33.0063025,1.731,1.263,0.187,Transit,cks,Transit
K01240,1.606,4.6646116911805295,2.139556503,0.971,0.962,0.099,Transit,cks,Transit
K01240,2.087,7.990605850708764,4.807099588,0.971,0.962,0.099,Transit,cks,Transit
K01276,2.446,5.5928171108632,22.79021423,0.961,0.941,0.073,Transit,cks,Transit
K01276,1.409,2.9266448073659337,13.26084292,0.961,0.941,0.073,Transit,cks,Transit
K01278,2.928,6.983424492196736,24.80568031,1.129,0.86,0.101,Transit,cks,Transit
K01278,3.295,9.6818507249065,44.3470995,1.129,0.86,0.101,Transit,cks,Transit
K01278,1.327,2.5420035915957553,9.2206889,1.129,0.86,0.101,Transit,cks,Transit
