#@string,ra,dec
TARGET,RA,DEC
HD 175541,186.0383865,-4.7172908
HD 175607,186.0853062,-4.7555425
HD 17674,186.2270991,-4.8070039
HD 176986,186.4409852,-4.8991358
HD 177565,186.5410958,-40.0484393
HD 177830,186.5740627,-40.3184646
HD 178911 B,186.7873036,-40.3942443
HD 179079,186.8026947,-40.4986211
HD 179949,186.8704260,-40.5734613
HD 180053,186.8729195,-40.8121458
HD 18015,186.8791724,-40.8358961
HD 180314,187.2947047,-41.2252050
HD 180617,187.5826081,-41.2440371
HD 180902,187.6126029,-41.2701007
HD 181234,187.6314027,-41.2772202
HD 181342,188.0271840,-41.3020235
HD 181433,188.1373172,-41.3184231
HD 181720,188.2662048,-41.3848617
HD 183263,188.2782840,-41.4210961
HD 183579,188.3864277,-41.4376399
HD 185269,188.3973970,-41.7377748
HD 187085,188.8935189,-41.8209828
HD 187123,189.0015173,-41.9606604
HD 18742,189.3173489,-42.0617794
HD 188015,189.7041426,-42.0639575
HD 189733,189.7134226,-42.0736165
HD 190007,189.8111935,-42.4097623
HD 190360,189.9128532,-42.4752733
HD 190647,19.3047733,-42.5757218
HD 190984,19.4493823,-42.7049658
HD 191806,19.5505861,-42.7622296
HD 191939,19.6101417,-42.9799461
HD 192263,190.0365636,-43.0666533
HD 192310,190.1519558,-43.1462347
HD 192699,190.6188034,-43.2727210
HD 195019,190.6892403,-43.3103753
HD 196050,190.9484237,-43.4368720
HD 196067,191.3631170,-43.5048162
HD 196885 A,191.7028214,-44.0887035
HD 197037,191.9815310,-44.2541679
HD 19994,192.1895676,-44.3120777
HD 20003,192.2159553,-44.3232519
HD 200964,192.5725483,-44.4350575
HD 202696,192.5892855,-44.5143104
HD 202772 A,192.9812030,-44.6888393
HD 203473,193.2953521,-45.0430198
HD 2039,193.5524603,-45.6591078
HD 204313,194.2415171,-45.6777937
HD 204941,194.3824825,-45.7994559
HD 205739,194.4680980,-45.8982434
HD 206255,195.3597581,-46.1364201
HD 206610,195.4438496,-46.1595160
HD 20781,195.7940145,-46.3175085
HD 20782,195.9818362,-46.3333582
HD 207832,196.0437932,-46.4646840
HD 20794,196.2339330,-46.5877159
HD 208487,196.7948740,-46.8213635
HD 208527,197.6652124,-46.8989826
HD 20868,197.9965833,-47.0033072
HD 208897,198.0111842,-47.1549358
HD 209458,198.0796310,-47.2375748
HD 210193,198.1818436,-47.2719049
HD 210277,198.1833997,-47.3606352
HD 210702,198.8436817,-47.6136789
HD 211810,199.4337420,-47.9375391
HD 211970,199.5964550,-48.0030988
HD 212301,199.8018300,-48.2394114
HD 212771,199.8315191,-48.2394189
HD 213240,2.4694459,-48.3188174
HD 213885,20.4956562,-48.4620833
HD 21411,20.5314418,-48.5418284
HD 214823,20.7789809,-48.5502313
HD 215152,20.9054804,-48.5986332
HD 215497,200.1646905,-48.9784105
HD 216435,200.4562487,-49.0125169
HD 216437,200.6348641,-49.0753625
HD 216520,200.7335358,-49.1385126
HD 216536,201.0876630,-49.4341037
HD 216770,201.6391407,-49.6649424
HD 21693,201.6551525,-49.7905254
HD 217107,202.0161895,-49.9489317
HD 217786,202.1064898,-49.9639199
HD 217850,202.2512060,-5.0434618
HD 218566,202.3313765,-5.0479716
HD 219077,202.3368806,-5.0794854
HD 219134,202.3934779,-5.0864557
HD 219415,202.4887520,-5.0948570
HD 219666,202.6050857,-5.1641451
HD 219828,203.1060194,-5.1720463
HD 220074,203.1066418,-5.1784093
HD 220197,203.3018653,-5.3668142
HD 220689,203.5099560,-5.4424943
HD 220773,203.5467021,-5.5360385
HD 220842,203.6087259,-5.6751152
HD 221287,203.6214411,-5.7216879
HD 221416,203.7581951,-5.7649600
HD 221420,204.1418754,-5.7820178
HD 221585,204.2215065,-5.8274311
HD 222076,204.4376666,-5.9862379
HD 222155,204.6089755,-5.9963378
HD 222582,204.7792935,-50.0081934
HD 224538,205.2371043,-50.0673496
HD 224693,205.3630485,-50.0935884
HD 22781,205.3758786,-50.2116920
HD 23079,205.4445125,-50.2678998
HD 23127,205.4542456,-50.2844247
HD 231701,205.6619890,-50.2927911
HD 233604,206.0940142,-50.4630933
HD 233832,206.5823122,-50.6228081
HD 23472,206.7357992,-50.6593080
HD 23596,206.8134593,-50.7993484
HD 238090,206.8461979,-50.8209945
HD 238914,207.0782895,-50.8322632
HD 240210,207.2061241,-51.0661480
HD 240237,207.3497402,-51.3630519
HD 24040,207.5260010,-51.6377777
HD 24064,207.5808445,-51.8348751
HD 24085,207.6554928,-51.9329118
HD 25015,207.9076746,-51.9573937
HD 25171,208.4653640,-52.1204471
HD 2638,208.7737624,-52.4463502
HD 2685,208.8567465,-52.6464757
HD 26965,208.9014508,-52.8408163
HD 27442,208.9280111,-52.9162344
HD 27631,209.3199062,-53.3711768
HD 27894,209.3886452,-53.7412852
HD 28185,209.5170100,-53.7437591
HD 28254,21.0651251,-53.9407751
HD 285507,21.1061587,-54.1777213
HD 285968,21.3033807,-54.2653450
HD 28678,21.5378455,-54.4651633
HD 29021,21.8711012,-54.5327284
HD 290327,210.1935714,-54.5596006
HD 2952,210.2597264,-54.8308228
HD 30177,213.1438604,-54.8933408
HD 30562,213.1565508,-54.9104230
HD 30669,214.0595791,-55.2600189
HD 30856,214.5387463,-55.3115376
HD 31253,214.6830109,-55.3302692
HD 31527,215.1227617,-55.7720006
HD 3167,215.2227183,-55.8718634
HD 32518,215.3434326,-56.0404085
HD 32963,216.5238248,-56.3161021
HD 330075,216.7005171,-56.3442798
HD 33142,216.8852514,-56.4498041
HD 332231,217.1555242,-56.4622865
HD 33283,217.3266477,-56.5997984
HD 33564,217.3270762,-56.6235564
HD 33844,217.3934657,-56.6499880
HD 34445,217.6091998,-56.6810380
HD 35759,218.2158073,-56.7969023
HD 3651,218.2766247,-56.9039857
HD 37124,219.0032292,-57.3849980
HD 37605,219.2702793,-57.5425629
HD 38283,22.4458116,-57.5888666
HD 38529,22.5043352,-58.0053798
HD 38801,221.0582692,-58.0208085
HD 39091,221.5104196,-58.1489328
HD 39855,221.8857975,-58.2097540
HD 40307,221.9438866,-58.3232726
HD 40956,222.1654705,-58.6643937
HD 40979,222.2100773,-58.7040134
HD 41004 A,222.6764950,-58.8361466
HD 41004 B,222.7673221,-58.9047242
HD 4113,223.3461495,-58.9460850
HD 42012,223.6587187,-59.3028771
